,,,,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,
2013,IV,Oct,2,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,IV,Oct,10,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,IV,Oct,1,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,IV,Oct,,100,100,100,300,100,100,100,100,400,700,100,100,100,300,100,100,100,100,400,1400,100,100,100,300,100,100,100,100,400,2100,100,100,100,300,100,100,100,100,400,2800,7000,100,100,100,300,100,100,100,100,400,3500,100,100,100,3800,100,100,100,100,400,4200,100,100,100,4500,100,100,100,100,400,4900,100,100,100,5200,100,100,100,100,400,5600,18200,
2013,IV,Nov,9,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,IV,Nov,8,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,IV,Nov,7,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,IV,Nov,6,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,IV,Nov,5,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,IV,Nov,4,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,IV,Nov,3,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,IV,Nov,2,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,IV,Nov,10,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,IV,Nov,1,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,IV,Nov,,100,100,100,300,100,100,100,100,400,700,100,100,100,300,100,100,100,100,400,1400,100,100,100,300,100,100,100,100,400,2100,100,100,100,300,100,100,100,100,400,2800,7000,100,100,100,300,100,100,100,100,400,3500,100,100,100,3800,100,100,100,100,400,4200,100,100,100,4500,100,100,100,100,400,4900,100,100,100,5200,100,100,100,100,400,5600,18200,
2013,IV,Dec,9,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,IV,Dec,8,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,IV,Dec,7,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,IV,Dec,6,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,IV,Dec,5,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,IV,Dec,4,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,IV,Dec,3,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,IV,Dec,2,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,IV,Dec,10,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,IV,Dec,1,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,IV,Dec,,100,100,100,300,100,100,100,100,400,700,100,100,100,300,100,100,100,100,400,1400,100,100,100,300,100,100,100,100,400,2100,100,100,100,300,100,100,100,100,400,2800,7000,100,100,100,300,100,100,100,100,400,3500,100,100,100,3800,100,100,100,100,400,4200,100,100,100,4500,100,100,100,100,400,4900,100,100,100,5200,100,100,100,100,400,5600,18200,
2013,IV,,,300,300,300,900,300,300,300,300,1200,2100,300,300,300,900,300,300,300,300,1200,4200,300,300,300,900,300,300,300,300,1200,6300,300,300,300,900,300,300,300,300,1200,8400,21000,300,300,300,900,300,300,300,300,1200,10500,300,300,300,11400,300,300,300,300,1200,12600,300,300,300,13500,300,300,300,300,1200,14700,300,300,300,15600,300,300,300,300,1200,16800,54600,
2013,III,Sep,9,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,III,Sep,8,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,III,Sep,7,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,III,Sep,6,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,III,Sep,5,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,III,Sep,4,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,III,Sep,3,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,III,Sep,2,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,III,Sep,10,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,III,Sep,1,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,III,Sep,,100,100,100,300,100,100,100,100,400,700,100,100,100,300,100,100,100,100,400,1400,100,100,100,300,100,100,100,100,400,2100,100,100,100,300,100,100,100,100,400,2800,7000,100,100,100,300,100,100,100,100,400,3500,100,100,100,3800,100,100,100,100,400,4200,100,100,100,4500,100,100,100,100,400,4900,100,100,100,5200,100,100,100,100,400,5600,18200,
2013,III,Jul,9,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,III,Jul,8,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,III,Jul,7,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,III,Jul,6,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,III,Jul,5,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,III,Jul,4,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,III,Jul,3,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,III,Jul,2,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,III,Jul,10,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,III,Jul,1,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,III,Jul,,100,100,100,300,100,100,100,100,400,700,100,100,100,300,100,100,100,100,400,1400,100,100,100,300,100,100,100,100,400,2100,100,100,100,300,100,100,100,100,400,2800,7000,100,100,100,300,100,100,100,100,400,3500,100,100,100,3800,100,100,100,100,400,4200,100,100,100,4500,100,100,100,100,400,4900,100,100,100,5200,100,100,100,100,400,5600,18200,
2013,III,Aug,9,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,III,Aug,8,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,III,Aug,7,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,III,Aug,6,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,III,Aug,5,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,III,Aug,4,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,III,Aug,3,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,III,Aug,2,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,III,Aug,10,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,III,Aug,1,10,10,10,30,10,10,10,10,40,70,10,10,10,30,10,10,10,10,40,140,10,10,10,30,10,10,10,10,40,210,10,10,10,30,10,10,10,10,40,280,700,10,10,10,30,10,10,10,10,40,350,10,10,10,380,10,10,10,10,40,420,10,10,10,450,10,10,10,10,40,490,10,10,10,520,10,10,10,10,40,560,1820,
2013,III,Aug,,100,100,100,300,100,100,100,100,400,700,100,100,100,300,100,100,100,100,400,1400,100,100,100,300,100,100,100,100,400,2100,100,100,100,300,100,100,100,100,400,2800,7000,100,100,100,300,100,100,100,100,400,3500,100,100,100,3800,100,100,100,100,400,4200,100,100,100,4500,100,100,100,100,400,4900,100,100,100,5200,100,100,100,100,400,5600,18200,
2013,III,,,600,600,600,1800,600,600,600,600,2400,4200,600,600,600,1800,600,600,600,600,2400,8400,600,600,600,1800,600,600,600,600,2400,12600,600,600,600,1800,600,600,600,600,2400,16800,42000,600,600,600,1800,600,600,600,600,2400,21000,600,600,600,22800,600,600,600,600,2400,25200,600,600,600,27000,600,600,600,600,2400,29400,600,600,600,31200,600,600,600,600,2400,33600,109200,
